shift,problem_ID,task_num,run_ID,min_time,avg_time,max_time,total_FEs,island_num,pop_size_per_task,fitness_value_1,fitness_value_2,fitness_value_3,fitness_value_4,fitness_value_5,fitness_value_6,fitness_value_7,fitness_value_8,fitness_value_9,fitness_value_10,fitness_value_11,fitness_value_12,fitness_value_13,fitness_value_14,fitness_value_15,fitness_value_16,fitness_value_17,fitness_value_18,fitness_value_19,fitness_value_20,fitness_value_21,fitness_value_22,fitness_value_23,fitness_value_24,fitness_value_25,fitness_value_26,fitness_value_27,fitness_value_28,fitness_value_29,fitness_value_30,fitness_value_31,fitness_value_32,time_task_1,time_task_2,time_task_3,time_task_4,time_task_5,time_task_6,time_task_7,time_task_8,time_task_9,time_task_10,time_task_11,time_task_12,time_task_13,time_task_14,time_task_15,time_task_16,time_task_17,time_task_18,time_task_19,time_task_20,time_task_21,time_task_22,time_task_23,time_task_24,time_task_25,time_task_26,time_task_27,time_task_28,time_task_29,time_task_30,time_task_31,time_task_32,FEs1,FEs2,FEs3,FEs4,FEs5,FEs6,FEs7,FEs8,FEs9,FEs10,FEs11,FEs12,FEs13,FEs14,FEs15,FEs16,FEs17,FEs18,FEs19,FEs20,FEs21,FEs22,FEs23,FEs24,FEs25,FEs26,FEs27,FEs28,FEs29,FEs30,FEs31,FEs32,comm_pecentage1,comm_pecentage2,comm_pecentage3,comm_pecentage4,comm_pecentage5,comm_pecentage6,comm_pecentage7,comm_pecentage8,comm_pecentage9,comm_pecentage10,comm_pecentage11,comm_pecentage12,comm_pecentage13,comm_pecentage14,comm_pecentage15,comm_pecentage16,comm_pecentage17,comm_pecentage18,comm_pecentage19,comm_pecentage20,comm_pecentage21,comm_pecentage22,comm_pecentage23,comm_pecentage24,comm_pecentage25,comm_pecentage26,comm_pecentage27,comm_pecentage28,comm_pecentage29,comm_pecentage30,comm_pecentage31,comm_pecentage32,total_insert1,total_insert2,total_insert3,total_insert4,total_insert5,total_insert6,total_insert7,total_insert8,total_insert9,total_insert10,total_insert11,total_insert12,total_insert13,total_insert14,total_insert15,total_insert16,total_insert17,total_insert18,total_insert19,total_insert20,total_insert21,total_insert22,total_insert23,total_insert24,total_insert25,total_insert26,total_insert27,total_insert28,total_insert29,total_insert30,total_insert31,total_insert32,total_success_insert1,total_success_insert2,total_success_insert3,total_success_insert4,total_success_insert5,total_success_insert6,total_success_insert7,total_success_insert8,total_success_insert9,total_success_insert10,total_success_insert11,total_success_insert12,total_success_insert13,total_success_insert14,total_success_insert15,total_success_insert16,total_success_insert17,total_success_insert18,total_success_insert19,total_success_insert20,total_success_insert21,total_success_insert22,total_success_insert23,total_success_insert24,total_success_insert25,total_success_insert26,total_success_insert27,total_success_insert28,total_success_insert29,total_success_insert30,total_success_insert31,total_success_insert32
5,1,32,1,6.95642,36.5186,77.5544,500000,32,64,9.96E-09,1.71E-07,5.84E-05,6.07085,9.40E-09,5.81393,5.81501,9.71E-09,9.83E-09,0.994959,9.58E-09,9.90E-09,5.24E-07,9.31E-09,5.55351,9.88E-09,4.5842,3.68E-08,6.71642,9.62E-09,9.61E-09,1.25E-06,9.19E-09,5.34444,5.77777,5.4413,4.61399,9.95E-09,9.95E-09,5.86491,9.71E-09,6.15E-07,18.9067,22.664,22.6727,77.1705,9.66234,77.3722,77.2406,8.3595,18.4666,22.3951,6.95642,8.32025,22.6591,19.2079,77.2795,8.86809,77.5544,22.9346,77.263,7.44438,8.83403,22.8527,19.1319,77.3497,77.359,77.4701,77.3248,7.4728,7.20371,77.4053,10.0026,22.7921,419680,500016,500048,500032,214464,500000,500048,185504,412352,500032,154928,185456,500048,427344,500048,196944,500000,500000,500032,164272,194672,500000,419120,500000,500016,500048,500048,164176,158224,500016,220832,500000,0.0441938,0.0441921,0.0443274,0.0401779,0.0415158,0.0401792,0.0399318,0.0436247,0.043918,0.0443028,0.0427315,0.0430312,0.0436215,0.0434363,0.0400729,0.0412449,0.0403622,0.0470523,0.0403496,0.0477854,0.0501252,0.0471182,0.0464598,0.0404924,0.040555,0.0411861,0.0409479,0.0515036,0.0494953,0.0406766,0.0490092,0.0457081,135,152,157,607,218,630,757,282,566,647,270,291,708,509,664,340,779,718,754,266,313,581,553,816,742,759,753,297,255,810,339,552,74,1,2,73,86,74,73,4,98,93,95,6,0,104,71,0,72,0,70,99,7,0,1,69,66,73,72,86,96,74,14,1
5,1,32,2,8.79427,38.0173,77.4274,500000,32,64,8.77E-09,9.50E-09,9.37E-09,7.49703,9.54E-09,5.70288,6.45784,9.78E-09,8.12E-09,9.73E-09,9.56E-09,9.86E-09,9.77E-09,9.54E-09,5.33877,9.53E-09,6.9747,9.96E-09,5.96013,9.48E-09,9.91E-09,4.68E-07,2.55E-05,6.40719,6.36323,5.37612,6.31741,0.994959,9.43E-09,5.75155,9.84E-09,6.24E-05,19.4677,18.0939,20.079,77.1827,19.2566,77.108,77.2155,8.93183,21.0775,18.775,18.5556,9.04228,20.888,18.4395,77.3191,9.80755,77.4274,17.402,77.1913,18.8203,9.49843,22.5651,22.6949,77.2433,77.3088,77.3156,77.2389,22.4192,19.4757,77.209,8.79427,22.7083,434048,400320,444608,500032,431008,500048,500000,200144,471552,421440,415776,202528,462816,411408,500048,218928,500048,381568,500048,421280,211392,500000,500048,500048,500048,500048,500048,500000,436768,500032,196800,500016,0.0446042,0.0433727,0.0435129,0.040518,0.0434272,0.0403627,0.0403395,0.0423845,0.0429974,0.0429619,0.0443681,0.0420382,0.043047,0.043098,0.0404358,0.0415353,0.0402875,0.0434781,0.0402623,0.0432473,0.0416339,0.042805,0.0430417,0.0402744,0.0404692,0.0404588,0.0405863,0.0435036,0.0421033,0.0404483,0.0400363,0.0429825,154,157,146,167,146,768,608,144,190,191,204,181,193,180,306,148,456,168,476,163,150,193,197,615,408,376,391,194,188,554,174,211,102,6,3,68,94,72,72,16,109,103,114,20,3,114,74,24,82,8,82,100,36,4,6,82,81,74,83,110,105,81,21,6
5,1,32,3,7.5968,38.4091,77.4062,500000,32,64,9.97E-09,9.94E-09,1.50E-07,6.89692,9.70E-09,5.28014,6.05636,9.76E-09,2.36E-05,9.73E-09,9.76E-09,9.95E-09,4.44E-05,9.43E-09,7.1783,9.81E-09,6.51868,9.57E-09,7.38148,8.46E-09,9.02E-09,0.000107488,3.72E-05,8.49185,7.11704,7.7409,6.93994,0.994959,9.71E-09,7.55048,9.97E-09,9.71E-09,20.3354,22.2869,22.7338,77.0992,18.2726,77.1713,77.2937,7.5968,22.3048,19.1115,19.2113,9.37499,22.557,19.3045,77.2321,11.1206,77.3763,16.983,77.149,18.4708,9.90788,22.7245,22.7237,77.2978,77.1021,77.218,77.4062,22.39,19.9741,77.2587,9.61463,22.4877,453776,490128,500032,500048,409984,500016,500016,170112,500016,425584,428384,209920,500032,430208,500048,248528,500048,371536,500016,413904,221984,500048,500016,500000,500032,500016,500000,500032,444848,500032,214080,494704,0.0437768,0.0436617,0.0446252,0.0403869,0.0415607,0.0402035,0.0404436,0.0408303,0.0423792,0.0423907,0.0427368,0.0413075,0.0423676,0.0429708,0.0403333,0.0418418,0.0402563,0.042813,0.0403528,0.0416016,0.0406201,0.0430305,0.0429229,0.0404523,0.0404718,0.0405569,0.0406591,0.0428267,0.042095,0.0404308,0.0408874,0.0430389,243,153,153,389,138,649,410,158,185,199,198,192,250,199,238,142,261,182,273,190,171,210,230,173,174,198,276,214,217,251,152,234,124,3,9,76,93,81,100,19,112,112,109,36,3,115,106,19,101,14,104,111,23,5,13,109,94,102,110,117,115,95,25,11
5,1,32,4,8.18788,38.2851,77.345,500000,32,64,9.88E-09,9.59E-09,9.70E-09,6.21254,9.83E-09,6.93505,5.74396,9.52E-09,9.74E-09,9.57E-09,9.93E-09,9.98E-09,5.97E-08,7.50E-06,7.11994,9.15E-09,5.70712,9.43E-09,6.63726,9.81E-09,9.70E-09,0.00100381,2.61E-06,5.58177,5.78592,6.10643,5.58627,0.00341615,9.65E-09,5.83646,1.00E-08,3.66E-05,18.5738,20.6065,21.2283,77.1282,18.277,77.1619,77.2486,8.61047,21.8696,18.1773,18.1063,8.52351,22.7427,22.4324,77.3037,8.18788,77.345,21.9473,77.189,19.1756,8.8601,22.7197,22.6858,77.0956,77.109,77.1712,77.316,22.3947,19.2748,77.2143,8.74864,22.6993,414496,454928,468432,500032,409392,500048,500048,192464,487952,406448,406528,190672,500000,500000,500048,183280,500032,481568,500000,428000,198448,500016,500000,500000,500000,500000,500000,500048,430240,500016,194896,500000,0.0437055,0.0435736,0.0436803,0.0405559,0.0419997,0.0402322,0.0403665,0.0418077,0.0427794,0.0423822,0.041911,0.0414432,0.0429645,0.0426235,0.0404175,0.0415348,0.040172,0.043228,0.0401571,0.0425783,0.0401898,0.042496,0.0421786,0.040104,0.0401224,0.0402564,0.0406443,0.042524,0.0422973,0.0409201,0.0407376,0.0422981,181,140,136,178,142,603,622,166,184,177,195,173,230,165,414,153,494,209,338,184,148,216,219,683,616,456,730,214,225,629,165,235,106,4,2,83,92,82,76,23,109,112,107,25,5,104,90,18,89,12,83,114,21,1,3,90,77,77,88,116,120,80,25,7
5,1,32,5,8.03065,38.3636,77.4907,500000,32,64,9.83E-09,9.65E-09,9.65E-09,7.19391,9.87E-09,4.71366,5.80703,9.68E-09,0.995488,9.45E-09,9.96E-09,9.60E-09,7.46E-08,9.78E-09,6.79844,9.79E-09,5.892,1.05E-06,7.23786,9.50E-09,9.77E-09,3.36E-06,1.70E-07,6.40771,5.81631,6.50483,5.72218,0.994959,9.48E-09,7.90918,9.93E-09,6.67E-06,18.8078,19.7776,17.5597,77.1563,21.0999,77.1074,77.2519,9.64032,22.3125,20.5938,20.3744,8.53353,22.707,19.0811,77.2738,9.36686,77.4907,22.7257,77.2524,18.5405,9.60912,22.7209,22.7288,77.2315,77.1364,77.1377,77.1592,22.2829,19.0567,77.1919,8.03065,22.6945,419184,435920,389360,500000,469424,500016,500048,216192,500000,458928,455776,190416,500048,427536,500048,209936,500000,500000,500048,415936,215584,500016,500048,500000,500032,500048,500032,500048,426416,500048,178912,500016,0.0435452,0.0438349,0.0429294,0.0404434,0.0432928,0.0404353,0.0403424,0.0403294,0.0427337,0.0429004,0.0430302,0.0410147,0.0431794,0.0427053,0.040458,0.0404228,0.0402575,0.0432574,0.0403574,0.041808,0.0406331,0.042963,0.0425307,0.0404073,0.0402796,0.0402929,0.0403812,0.0423472,0.044864,0.0402557,0.0385965,0.0427404,126,142,136,196,168,557,377,158,228,206,222,185,235,219,602,139,610,187,580,174,188,210,188,638,595,673,531,227,216,164,182,228,72,6,7,80,108,86,85,28,117,112,116,24,5,110,87,22,82,6,89,100,25,1,9,85,80,82,78,107,110,84,27,9
5,1,32,6,8.14541,38.5631,77.5749,500000,32,64,9.46E-09,1.10E-07,6.47E-07,6.28597,9.40E-09,6.30409,6.93659,9.62E-09,1.67E-05,9.67E-09,9.75E-09,9.86E-09,1.71E-05,9.88E-09,5.73232,9.80E-09,6.69353,9.13E-09,6.0441,9.87E-09,9.81E-09,1.10E-06,4.60E-07,6.38812,5.97248,6.57574,7.0734,0.994959,9.97E-09,5.06135,9.88E-09,3.83E-06,22.0132,22.6608,22.5732,77.1648,19.6555,77.1973,77.1877,9.92459,22.3602,18.7415,18.8905,8.14541,22.6765,19.4503,77.1356,9.03737,77.4513,20.9329,77.096,18.7089,8.55469,22.664,22.7536,77.1218,77.2393,77.5749,77.2296,22.3866,20.7154,77.3428,8.72714,22.7074,493696,500016,500000,500000,440400,500048,500048,222752,500016,419520,423776,182320,500048,429168,500048,201216,500000,458416,500032,420416,191360,500000,500032,500032,500032,500000,500048,500000,462480,500048,194016,500000,0.0426051,0.0437877,0.0429783,0.0405517,0.0427502,0.040327,0.040333,0.0412491,0.0423882,0.0423453,0.0416204,0.041657,0.0431289,0.0420589,0.0401514,0.0416954,0.0402149,0.0432059,0.0400887,0.0417729,0.0406394,0.0427303,0.0425249,0.0400681,0.0402746,0.0398602,0.0404742,0.0423754,0.0419925,0.0406553,0.0407761,0.0424299,198,144,172,177,150,492,332,177,186,213,229,174,241,215,392,172,477,227,615,201,158,199,217,604,500,445,588,203,199,584,160,225,109,3,2,78,108,74,84,21,109,115,120,23,7,114,85,23,90,10,82,118,19,3,6,88,90,89,94,115,109,80,20,4
5,1,32,7,8.19016,38.3353,77.3281,500000,32,64,9.71E-09,9.98E-09,3.01E-08,7.19675,9.61E-09,5.2551,5.64619,9.59E-09,9.55E-09,9.99E-09,9.59E-09,9.93E-09,6.88E-07,9.41E-09,6.77417,9.88E-09,6.42189,2.57E-07,6.59483,9.66E-09,9.89E-09,0.000249535,2.29E-06,5.28785,6.43122,6.50694,6.36674,1.45E-06,9.26E-09,6.00613,9.64E-09,5.33E-07,20.388,18.9879,22.5803,77.2245,18.4761,77.1291,77.1684,9.27724,20.1314,18.5802,18.3577,8.19016,22.7401,18.9629,77.2183,11.0629,77.2764,22.7991,77.2836,19.4951,8.77761,22.7207,22.6922,77.1864,77.2591,77.2168,77.3281,22.3308,18.9539,77.1672,9.07729,22.6919,457008,420032,500032,500048,413936,500016,500016,207504,448608,416816,409952,183760,500016,422736,500048,246928,500048,500032,500048,435072,196464,500032,500000,500000,500000,500000,500000,500000,423248,500032,202112,500032,0.0426209,0.0436471,0.044395,0.0405936,0.0432079,0.0403933,0.0401629,0.042309,0.0435612,0.0428691,0.0433676,0.0411125,0.0435517,0.0436841,0.0402444,0.0427586,0.0401787,0.0439531,0.0404582,0.0431944,0.0408087,0.0436212,0.0437073,0.0403834,0.0403155,0.0404494,0.0406307,0.0431351,0.0432356,0.0403139,0.0412537,0.0430693,229,138,162,291,153,491,607,159,188,174,182,172,187,190,397,156,481,225,586,192,166,210,239,677,501,631,638,231,235,632,169,224,118,7,0,82,97,79,80,26,109,100,113,26,0,130,89,17,92,8,87,117,30,1,4,92,89,93,84,130,118,82,27,3
5,1,32,8,8.22779,38.3049,77.3082,500000,32,64,9.76E-09,3.74E-08,9.98E-09,7.47771,9.52E-09,5.8109,5.79324,9.96E-09,8.24E-09,0.292423,9.59E-09,8.91E-09,1.19E-06,9.88E-09,7.54788,9.18E-09,8.47215,9.68E-09,7.00032,9.68E-09,9.74E-09,1.02E-05,1.11E-07,6.08828,7.77023,7.24529,6.77792,0.994959,9.99E-09,7.69139,9.93E-09,1.40E-07,18.6968,22.61,21.2198,77.2175,19.9842,77.1141,77.1665,10.1989,18.6745,22.2672,18.9872,8.22779,22.5756,18.8972,77.1456,8.7973,77.3082,19.0114,77.1929,18.8204,8.42393,22.7017,22.6678,77.1716,77.1104,77.1491,77.2391,22.4156,20.18,77.1589,8.73397,22.6917,419280,500048,450512,500032,448848,500016,500000,227296,415344,500016,425552,184512,500016,420480,500032,196944,500032,415920,500048,421696,188736,500000,500048,500000,500016,500032,500032,500048,450480,500048,195008,500000,0.0427642,0.0441124,0.0434964,0.0400464,0.0425535,0.0402243,0.0402521,0.0430312,0.0434521,0.0429021,0.0426447,0.0412996,0.0426694,0.0435228,0.0402073,0.0410889,0.0401945,0.0438343,0.0400956,0.0429802,0.0411307,0.0432348,0.0427391,0.0401729,0.0401882,0.0402387,0.0405161,0.0432361,0.0427926,0.0403033,0.0402652,0.0429944,181,145,148,199,176,605,557,165,210,183,182,161,199,161,171,177,191,197,200,165,153,181,187,197,202,183,185,176,174,190,153,184,104,6,3,76,105,93,82,18,115,102,104,22,4,94,97,25,112,11,112,93,20,0,4,105,111,106,100,101,97,102,26,1
5,1,32,9,8.41901,38.2496,77.4869,500000,32,64,8.83E-09,1.08E-06,0.000107916,7.2663,9.90E-09,6.4545,5.11036,9.68E-09,9.43E-09,9.68E-09,9.71E-09,9.86E-09,9.19E-09,9.35E-09,5.14529,9.77E-09,5.62792,9.61E-09,5.44198,9.47E-09,9.92E-09,3.89E-07,5.38E-07,6.25841,7.02951,5.65694,6.18271,0.994959,9.85E-09,6.18587,9.91E-09,3.09E-05,18.8375,22.7749,22.6093,77.1485,19.1485,77.1502,77.3074,9.0098,18.9469,18.8578,18.7027,8.91796,22.036,18.3151,77.1585,8.41901,77.4869,17.975,77.1578,19.4936,11.313,22.7282,22.7545,77.2193,77.2848,77.1856,77.2311,22.3624,18.8803,77.2847,9.5993,22.6901,419936,500048,500032,500016,427104,500000,500000,200480,424608,422400,419616,200112,485216,408576,500032,188928,500000,394160,500048,434992,253232,500032,500016,500048,500000,500016,500000,500000,421440,500016,213808,500000,0.0438434,0.0445792,0.0435267,0.0405378,0.0431198,0.0403948,0.0402798,0.0429036,0.042077,0.0430759,0.0418278,0.0414757,0.0428581,0.0423319,0.0402679,0.04086,0.0401786,0.0429937,0.0403158,0.0420706,0.0427035,0.0429071,0.0422861,0.0404544,0.0404682,0.0403058,0.0406129,0.0426877,0.0424327,0.040418,0.0414227,0.0424004,217,246,162,212,166,510,535,193,199,241,173,154,204,179,555,182,328,192,604,181,136,202,209,464,430,493,541,202,184,167,130,207,109,8,2,89,103,81,71,18,107,121,103,29,0,107,87,21,81,11,100,102,28,2,13,93,87,88,91,110,103,87,20,7
5,1,32,10,8.35921,38.4366,77.4874,500000,32,64,9.70E-09,1.71E-06,2.33E-07,6.66554,9.39E-09,4.94401,6.88468,9.67E-09,9.57E-09,9.66E-09,9.32E-09,9.36E-09,1.15E-06,9.93E-09,7.00088,9.94E-09,7.09579,1.64E-06,8.3721,9.57E-09,9.83E-09,0.000139297,1.30E-08,5.93578,7.48313,7.06703,8.05532,0.994959,8.92E-09,8.64379,9.89E-09,8.22E-05,18.3399,22.5921,22.6353,77.1231,19.5572,77.2033,77.3386,8.56646,21.4621,19.0168,18.7366,9.02175,22.6999,19.3085,77.2762,9.39429,77.4874,22.7534,77.1615,18.9481,9.31333,22.6956,22.7127,77.2806,77.2786,77.1738,77.2949,22.3992,18.901,77.2184,8.35921,22.7206,410384,500000,500016,500000,435840,500048,500000,192064,481552,424592,420064,202528,500048,430064,500048,210816,500048,500000,500048,422592,207776,500048,500016,500048,500048,500000,500000,500000,422032,500000,186992,500000,0.0414676,0.0423093,0.0430195,0.040501,0.0425546,0.0403899,0.0405012,0.0401415,0.0411247,0.041874,0.0414659,0.0401073,0.042293,0.0417215,0.0404839,0.0402595,0.0402846,0.0422483,0.0402925,0.0419272,0.0410107,0.0419519,0.0418031,0.0404211,0.0403134,0.0402079,0.0406557,0.0421612,0.0413923,0.0403954,0.0399361,0.0418033,135,161,146,340,198,548,673,169,203,207,201,180,218,210,171,215,185,255,185,228,206,255,206,202,187,186,187,201,209,195,174,216,74,2,0,96,112,82,75,26,104,105,103,22,4,107,104,20,106,9,113,113,25,3,8,108,110,96,105,111,100,108,21,0
