shift,problem_ID,task_num,run_ID,min_time,avg_time,max_time,total_FEs,island_num,pop_size_per_task,fitness_value_1,fitness_value_2,fitness_value_3,fitness_value_4,fitness_value_5,fitness_value_6,fitness_value_7,fitness_value_8,fitness_value_9,fitness_value_10,fitness_value_11,fitness_value_12,fitness_value_13,fitness_value_14,fitness_value_15,fitness_value_16,fitness_value_17,fitness_value_18,fitness_value_19,fitness_value_20,fitness_value_21,fitness_value_22,fitness_value_23,fitness_value_24,fitness_value_25,fitness_value_26,fitness_value_27,fitness_value_28,fitness_value_29,fitness_value_30,fitness_value_31,fitness_value_32,time_task_1,time_task_2,time_task_3,time_task_4,time_task_5,time_task_6,time_task_7,time_task_8,time_task_9,time_task_10,time_task_11,time_task_12,time_task_13,time_task_14,time_task_15,time_task_16,time_task_17,time_task_18,time_task_19,time_task_20,time_task_21,time_task_22,time_task_23,time_task_24,time_task_25,time_task_26,time_task_27,time_task_28,time_task_29,time_task_30,time_task_31,time_task_32,FEs1,FEs2,FEs3,FEs4,FEs5,FEs6,FEs7,FEs8,FEs9,FEs10,FEs11,FEs12,FEs13,FEs14,FEs15,FEs16,FEs17,FEs18,FEs19,FEs20,FEs21,FEs22,FEs23,FEs24,FEs25,FEs26,FEs27,FEs28,FEs29,FEs30,FEs31,FEs32,comm_pecentage1,comm_pecentage2,comm_pecentage3,comm_pecentage4,comm_pecentage5,comm_pecentage6,comm_pecentage7,comm_pecentage8,comm_pecentage9,comm_pecentage10,comm_pecentage11,comm_pecentage12,comm_pecentage13,comm_pecentage14,comm_pecentage15,comm_pecentage16,comm_pecentage17,comm_pecentage18,comm_pecentage19,comm_pecentage20,comm_pecentage21,comm_pecentage22,comm_pecentage23,comm_pecentage24,comm_pecentage25,comm_pecentage26,comm_pecentage27,comm_pecentage28,comm_pecentage29,comm_pecentage30,comm_pecentage31,comm_pecentage32,total_insert1,total_insert2,total_insert3,total_insert4,total_insert5,total_insert6,total_insert7,total_insert8,total_insert9,total_insert10,total_insert11,total_insert12,total_insert13,total_insert14,total_insert15,total_insert16,total_insert17,total_insert18,total_insert19,total_insert20,total_insert21,total_insert22,total_insert23,total_insert24,total_insert25,total_insert26,total_insert27,total_insert28,total_insert29,total_insert30,total_insert31,total_insert32,total_success_insert1,total_success_insert2,total_success_insert3,total_success_insert4,total_success_insert5,total_success_insert6,total_success_insert7,total_success_insert8,total_success_insert9,total_success_insert10,total_success_insert11,total_success_insert12,total_success_insert13,total_success_insert14,total_success_insert15,total_success_insert16,total_success_insert17,total_success_insert18,total_success_insert19,total_success_insert20,total_success_insert21,total_success_insert22,total_success_insert23,total_success_insert24,total_success_insert25,total_success_insert26,total_success_insert27,total_success_insert28,total_success_insert29,total_success_insert30,total_success_insert31,total_success_insert32
5,1,32,1,7.67364,39.2917,78.9084,500000,32,64,363.761,2.91E-06,4.71E-06,44.6158,399.793,44.6876,44.8938,9.85E-09,410.561,356.362,394.577,9.93E-09,4.49E-08,415.032,46.6167,9.72E-09,46.9784,9.80E-09,45.3971,394.041,9.29E-09,2.43E-05,4.96E-07,42.5111,46.7014,45.4692,45.3394,392.83,378.907,47.5158,9.98E-09,0.000401492,22.3835,22.6614,22.6111,77.2371,22.2354,77.4537,77.281,7.67364,22.3504,22.2454,22.2259,9.20946,22.608,22.269,77.286,9.53428,77.4641,21.7721,77.2958,22.2743,10.4367,23.704,22.5426,77.6307,78.9084,77.3302,77.2644,22.4061,22.2556,77.3316,8.85486,22.596,500032,500032,500032,500032,500032,500032,500032,172480,500032,500032,500032,206720,500032,500032,500032,213888,500032,484608,500032,500032,235264,500032,500032,500032,500032,500032,500032,500032,500032,500032,198528,500032,0.00213683,0.0023281,0.0018697,0.000688903,0.00106653,0.000960471,0.000696563,0.000484161,0.000452592,0.000490945,0.000462453,0.000505575,0.00204249,0.000471494,0.00073047,0.000523685,0.000967529,0.000482169,0.000870174,0.000468878,0.000505773,0.00230169,0.00193629,0.000945987,0.000979361,0.000792779,0.000822642,0.000520356,0.000482309,0.000846897,0.00051454,0.00188334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,2,8.28958,39.274,77.5979,500000,32,64,363.761,1.41E-07,9.68E-08,44.2725,411.407,43.8039,45.3349,9.81E-09,383.179,390.771,390.687,9.97E-09,4.33E-05,356.136,45.4811,9.94E-09,46.1159,0.00042868,47.6315,409.25,9.88E-09,1.04E-08,6.28E-06,45.8812,49.5334,45.6529,48.1462,394.211,391.49,47.4759,9.78E-09,0.00046982,22.4443,22.5624,22.9153,77.2409,22.0835,77.2748,77.2326,8.80485,22.2268,22.2361,22.2704,9.38638,22.5095,22.3011,77.1424,11.3988,77.2673,22.5427,77.2172,22.3561,8.28958,22.7249,22.6257,77.5979,77.2527,77.2086,77.2448,22.4466,22.3218,77.3974,9.64739,22.5963,500032,500032,500032,500032,500032,500032,500032,199104,500032,500032,500032,210752,500032,500032,500032,256704,500032,500032,500032,500032,186368,500032,500032,500032,500032,500032,500032,500032,500032,500032,217920,500032,0.000580837,0.000534536,0.000535491,0.000233255,0.000488077,0.000212262,0.000214452,0.000471403,0.000451645,0.000492092,0.000525281,0.00050674,0.000486677,0.000518593,0.000216941,0.000477265,0.000260304,0.00050635,0.00021221,0.000492341,0.000480773,0.000480647,0.000482154,0.00020169,0.000217767,0.000211792,0.000207785,0.000536613,0.000448739,0.000221364,0.000489224,0.000509287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,3,7.97268,39.1419,77.6582,500000,32,64,363.761,7.41E-07,3.38E-06,46.2886,352.653,44.9955,46.8941,9.49E-09,383.303,397.083,368.954,9.82E-09,7.77E-08,379.538,44.7815,9.57E-09,47.58,9.78E-08,49.5054,370.917,9.93E-09,7.14E-08,0.000707425,47.8855,46.4045,47.7104,44.7216,415.314,370.338,45.5483,9.26E-09,1.01E-06,22.1902,22.57,22.4425,77.2043,22.2323,77.2291,77.1953,9.12259,22.3151,22.2718,22.1862,10.0424,22.4255,22.1411,77.1163,8.86128,77.2829,22.5429,77.2823,22.1867,7.97268,22.533,22.5177,77.6582,77.1899,77.1844,77.1492,22.3824,22.3442,77.388,8.89804,22.4818,500032,500032,500032,500032,500032,500032,500032,205120,500032,500032,500032,225024,500032,500032,500032,200256,500032,500032,500032,500032,179328,500032,500032,500032,500032,500032,500032,500032,500032,500032,200704,500032,0.00051923,0.000481486,0.000479599,0.00021748,0.000484337,0.000211088,0.000220307,0.000479367,0.00045677,0.000456255,0.000469687,0.000478315,0.000464494,0.000495949,0.000219166,0.000487477,0.000263494,0.000467289,0.000204643,0.000456576,0.00046956,0.000461897,0.000442909,0.00020827,0.000212968,0.000213656,0.000203849,0.000504908,0.000446861,0.000211948,0.000461589,0.000463681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,4,8.71238,39.1952,77.6362,500000,32,64,363.761,7.53E-07,9.84E-09,49.0649,371.36,45.0658,46.7233,9.47E-09,406.979,409.8,354.746,9.81E-09,5.04E-06,388.448,46.4064,9.59E-09,44.0301,1.18E-06,41.6234,365.351,9.36E-09,3.74E-05,6.89E-06,41.7458,43.6796,43.3037,44.6214,346.667,359.417,44.9729,9.42E-09,1.29E-05,22.1886,22.4462,21.9463,77.2286,22.0942,77.2202,77.2138,9.96716,22.2334,22.1261,22.1276,8.71238,22.4385,22.1976,77.1637,9.44734,77.4426,22.5767,77.3179,22.1233,9.07119,22.5366,22.6056,77.6362,77.2532,77.2606,77.4001,22.4096,22.3461,77.3717,9.68594,22.4577,500032,500032,487616,500032,500032,500032,500032,224256,500032,500032,500032,195840,500032,500032,500032,213312,500032,500032,500032,500032,203776,500032,500032,500032,500032,500032,500032,500032,500032,500032,217024,500032,0.000528154,0.000482335,0.000479211,0.000207638,0.00046494,0.00021013,0.000214881,0.000481805,0.00045255,0.000453053,0.000482622,0.00048177,0.00047228,0.000473313,0.000221797,0.000507912,0.000273769,0.000494131,0.000228517,0.000456958,0.000451516,0.000464415,0.00045978,0.000224746,0.00022777,0.000216562,0.000214176,0.000481282,0.000473955,0.000204231,0.000513467,0.000468701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,5,8.07335,39.1382,77.5717,500000,32,64,363.761,2.58E-06,1.67E-06,41.5649,393.858,44.6007,44.0196,9.97E-09,390.363,367.869,395.355,9.87E-09,1.92E-08,366.212,46.0256,9.77E-09,45.6405,9.69E-09,43.2392,380.216,9.79E-09,3.50E-06,9.88E-09,45.7132,43.2887,47.3481,46.4028,358.891,351.141,48.4375,9.23E-09,4.20E-05,22.6725,22.5389,22.5923,77.2585,22.1128,77.4613,77.3008,9.68322,22.3331,22.2591,22.2996,8.34251,22.626,22.2576,77.2613,9.02806,77.3369,21.939,77.215,22.2762,8.79265,22.6632,22.104,77.5717,77.1878,77.1755,77.2507,22.4201,22.3676,77.3795,8.07335,22.6407,500032,500032,500032,500032,500032,500032,500032,218048,500032,500032,500032,186624,500032,500032,500032,203072,500032,485952,500032,500032,197248,500032,487872,500032,500032,500032,500032,500032,500032,500032,182272,500032,0.000588913,0.000532289,0.000519592,0.000232473,0.000470221,0.000227436,0.000243752,0.000515261,0.00047975,0.000491905,0.000500442,0.00053528,0.000512695,0.000524524,0.000241726,0.000539554,0.000260828,0.000498486,0.000201579,0.000499929,0.000514411,0.000496148,0.000507632,0.000214025,0.000212557,0.000210326,0.000224201,0.000531175,0.000453748,0.000223834,0.000483992,0.000504306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,6,7.93576,39.1046,77.5623,500000,32,64,363.761,1.72E-07,0.000597473,47.779,404.868,46.0156,44.7394,9.99E-09,387.154,363.885,375.722,9.97E-09,0.00039187,344.543,46.4369,9.85E-09,48.7062,1.69E-07,44.1936,390.638,9.88E-09,5.77E-06,6.26E-07,48.5408,48.7654,44.6374,46.6756,378.518,384.12,46.4519,9.95E-09,9.75E-09,22.1847,22.5621,22.4344,77.1206,22.2445,77.5083,77.1312,9.75634,22.2261,22.2332,22.1024,9.21309,22.4817,22.1908,77.2752,8.87406,77.2973,22.5544,77.2905,23.2221,9.15368,22.5419,22.5236,77.5623,77.1692,77.2489,77.3098,22.4425,22.3533,77.3084,7.93576,19.8963,500032,500032,500032,500032,500032,500032,500032,219328,500032,500032,500032,206912,500032,500032,500032,200448,500032,500032,500032,500032,203520,500032,500032,500032,500032,500032,500032,500032,500032,500032,179264,442496,0.000543582,0.000486324,0.000496436,0.000213805,0.000502486,0.000205252,0.000214784,0.000495417,0.000458866,0.000482988,0.000502362,0.000510707,0.000481001,0.000487123,0.000221063,0.000507839,0.000255212,0.000458859,0.000207129,0.00043393,0.000462007,0.000445034,0.000438474,0.000215858,0.000213368,0.000207879,0.000214661,0.000491041,0.000451552,0.000206479,0.000467838,0.000456028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,7,8.14017,39.0969,77.5297,500000,32,64,363.761,4.49E-07,2.70E-06,44.3301,401.445,48.6209,48.2736,9.99E-09,393.609,389.366,371.871,9.75E-09,3.88E-06,389.79,46.91,9.66E-09,46.8857,9.05E-07,44.25,376.587,9.84E-09,3.96E-07,1.22E-05,47.7258,45.8163,44.3233,46.7362,391.788,361.599,44.7976,9.97E-09,1.49E-06,22.289,22.5635,22.5246,77.1984,22.1848,77.2317,77.1377,8.14017,22.2052,22.21,22.1169,8.64866,22.5214,22.1554,77.1431,9.18464,77.4594,22.6005,77.317,22.2904,8.8241,22.5284,22.7097,77.5297,77.2538,77.2689,77.1348,22.4034,22.3901,77.3081,8.16802,22.4604,500032,500032,500032,500032,500032,500032,500032,182848,500032,500032,500032,194368,500032,500032,500032,207488,500032,500032,500032,500032,198464,500032,500032,500032,500032,500032,500032,500032,500032,500032,183744,500032,0.000552869,0.000492824,0.00047783,0.000217635,0.000472285,0.000208991,0.000220922,0.000476446,0.000447112,0.000450644,0.000478488,0.000503927,0.000474065,0.000477635,0.000214383,0.000501854,0.000279773,0.00047188,0.000223784,0.000444344,0.000463565,0.000445927,0.00042938,0.000199026,0.00023212,0.000219933,0.00020831,0.000485991,0.000490742,0.000202527,0.000512242,0.00045976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,8,8.0532,39.1563,77.6146,500000,32,64,363.761,1.42E-07,9.05E-07,48.7756,395.795,47.8979,46.7141,9.77E-09,406.337,371.439,388.221,9.87E-09,1.80E-06,412.843,46.0453,9.89E-09,43.622,2.87E-05,44.2149,347.748,9.90E-09,0.000237537,9.87E-05,48.5262,38.8448,47.7569,45.8713,386.38,339.679,47.0742,9.68E-09,1.63E-08,22.3413,22.588,22.6298,77.3187,22.0883,77.4166,77.1517,8.0532,22.3845,22.2163,22.2954,8.78828,22.6005,22.2586,77.2625,8.09126,77.3847,22.6038,77.2453,22.1973,9.50495,23.1101,22.7247,77.6146,77.2486,77.1908,77.1401,22.4453,22.349,77.3311,8.82315,22.6027,500032,500032,500032,500032,500032,500032,500032,180480,500032,500032,500032,197824,500032,500032,500032,182208,500032,500032,500032,500032,212992,500032,500032,500032,500032,500032,500032,500032,500032,500032,190528,500032,0.000595851,0.000516462,0.000546619,0.000232743,0.000486037,0.000231235,0.00023969,0.00051851,0.000496255,0.000448897,0.000537131,0.000528829,0.000520839,0.000522626,0.000235418,0.000537021,0.000272714,0.000531543,0.000207969,0.000493543,0.000523094,0.000506753,0.000463183,0.000230833,0.000217161,0.000212094,0.000202127,0.00052001,0.000449688,0.000228161,0.000445376,0.000483405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,9,8.13755,39.0954,77.5913,500000,32,64,363.761,0.000190822,9.74E-09,43.4244,408.541,48.0488,46.6026,9.41E-09,361.938,397.716,379.27,9.92E-09,8.40E-08,384.191,46.2935,9.53E-09,49.6247,9.33E-09,45.6467,372.087,9.94E-09,3.93E-06,1.33E-05,46.2758,46.9525,46.6899,48.4828,354.352,365.299,46.6212,9.49E-09,5.32E-08,22.3027,22.5553,20.0757,77.1828,22.271,77.3682,77.2478,10.9759,22.3116,22.2732,22.2193,9.89994,22.4466,22.2008,77.1744,8.53728,77.3041,20.5759,77.4208,22.3823,8.13755,22.5392,22.59,77.5913,77.434,77.2851,77.2922,22.4518,22.3743,77.3113,8.7501,22.5707,500032,500032,445760,500032,500032,500032,500032,246528,500032,500032,500032,222080,500032,500032,500032,191808,500032,456512,500032,500032,183104,500032,500032,500032,500032,500032,500032,500032,500032,500032,197248,500032,0.000695982,0.000493373,0.000502496,0.000217661,0.000503901,0.000210622,0.000221993,0.000482879,0.000454716,0.000488468,0.000494203,0.000496925,0.000482411,0.000475381,0.00022513,0.000514411,0.00025977,0.000461995,0.000200076,0.000469012,0.000463357,0.000452557,0.000440203,0.000215317,0.000226996,0.000211274,0.000239325,0.000501117,0.000466442,0.000210234,0.000462663,0.000463534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,32,10,8.61832,39.243,77.8279,500000,32,64,363.761,2.06E-08,1.21E-06,49.6924,353.748,42.2599,46.177,9.53E-09,396.005,411.803,388.354,9.94E-09,1.16E-06,401.021,46.2873,9.94E-09,45.0883,1.10E-06,49.6417,373.638,9.90E-09,7.16E-06,0.00045943,43.6744,46.8119,47.0193,47.3054,382.803,357.216,47.8403,9.58E-09,2.87E-05,22.3409,22.5559,22.512,77.3312,22.2111,77.3327,77.1251,10.2591,22.3244,22.143,22.1116,9.36204,22.4516,22.2273,77.2236,9.28028,77.2657,22.6388,77.3519,22.3315,8.61832,22.656,22.5888,77.5697,77.2808,77.2257,77.1198,22.4171,22.3788,77.8279,9.25762,22.4551,500032,500032,500032,500032,500032,500032,500032,230848,500032,500032,500032,210048,500032,500032,500032,209536,500032,500032,500032,500032,193472,500032,500032,500032,500032,500032,500032,500032,500032,500032,207808,500032,0.000645199,0.000498361,0.000494438,0.000219075,0.000473442,0.000209495,0.000209113,0.000490728,0.000447813,0.000449132,0.000492513,0.000479993,0.000483728,0.00048967,0.000221223,0.000494113,0.000260603,0.000486666,0.00022891,0.000466268,0.000465643,0.000471806,0.000454328,0.000212491,0.000237056,0.000232782,0.000204687,0.000491066,0.00050909,0.000208532,0.000530064,0.000458201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
